Symbol	Synonyms	chromosome	strand	start	end	GeneID	ensembl_id
ACYP1	ACYPE	14	-1.0	75053237.0	75069483.0	97	ENSG00000119640
ACYP2	ACYM|ACYP	2	1.0	53970838.0	54305300.0	98	ENSG00000170634
ADA	ADA1	20	-1.0	44584896.0	44652252.0	100	ENSG00000196839
ADAM8	CD156|CD156a|MS2	10	-1.0	133262420.0	133276868.0	101	ENSG00000151651
ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	15	-1.0	58588809.0	58749791.0	102	ENSG00000137845
ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	1	-1.0	154581695.0	154628013.0	103	ENSG00000160710
ADARB1	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	21	1.0	45073853.0	45226560.0	104	ENSG00000197381
ADARB2	ADAR3|RED2	10	-1.0	1177313.0	1737525.0	105	ENSG00000185736
ADCY1	AC1|DFNB44	7	1.0	45574140.0	45723116.0	107	ENSG00000164742
ADCY2	AC2|HBAC2	5	1.0	7396138.0	7830081.0	108	ENSG00000078295
ADCY3	AC-III|AC3|BMIQ19	2	-1.0	24819169.0	24920237.0	109	ENSG00000138031
ADCY5	AC5|DSKOD|FDFM	3	-1.0	123282296.0	123449090.0	111	ENSG00000173175
ADCY6	AC6|LCCS8	12	-1.0	48766194.0	48789089.0	112	ENSG00000174233
ADCY7	AC7	16	1.0	50246137.0	50318135.0	113	ENSG00000121281
ADCY8	AC8|ADCY3|HBAC1	8	-1.0	130780301.0	131040909.0	114	ENSG00000155897
ADCY9	AC9|ACIX	16	-1.0	3953387.0	4116442.0	115	ENSG00000162104
ADCYAP1	PACAP	18	1.0	904871.0	912172.0	116	ENSG00000141433
ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	7	1.0	31052308.0	31111474.0	117	ENSG00000078549
ADD1	ADDA	4	1.0	2843844.0	2930076.0	118	ENSG00000087274
ADD2	ADDB	2	-1.0	70607618.0	70768225.0	119	ENSG00000075340
ADD3	ADDL|CPSQ3	10	1.0	109996368.0	110135565.0	120	ENSG00000148700
PLIN2	ADFP|ADRP	9	-1.0	19108375.0	19149290.0	123	ENSG00000147872
ADH1A	ADH1	4	-1.0	99276369.0	99291003.0	124	ENSG00000187758
ADH1B	ADH2|HEL-S-117	4	-1.0	99304971.0	99321401.0	125	ENSG00000196616
ADH1C	ADH3	4	-1.0	99336497.0	99352746.0	126	ENSG00000248144
ADH4	ADH-2|HEL-S-4	4	-1.0	99123657.0	99157792.0	127	ENSG00000198099
ADH5	ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	4	-1.0	99070978.0	99088801.0	128	ENSG00000197894
ADH6	ADH-5	4	-1.0	99202638.0	99219537.0	130	ENSG00000172955
ADH7	ADH4	4	-1.0	99412261.0	99435510.0	131	ENSG00000196344
ADK	AK	10	1.0	74151202.0	74709963.0	132	ENSG00000156110
ADM	AM|PAMP	11	1.0	10305073.0	10307397.0	133	ENSG00000148926
ADORA1	RDC7	1	1.0	203090654.0	203167405.0	134	ENSG00000163485
ADORA2A	A2aR|ADORA2|RDC8	22	1.0	24417879.0	24442357.0	135	ENSG00000128271
ADORA2B	ADORA2	17	1.0	15945130.0	15975746.0	136	ENSG00000170425
ADORA2BP1	ADORA2BP	1	1.0	207100000.0	211300000.0	137	
ADORA3	A3AR	1	-1.0	111499429.0	111503633.0	140	ENSG00000282608
ADPRH	ARH1|hARH1	3	1.0	119579268.0	119589945.0	141	ENSG00000144843
PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1	1	-1.0	226360210.0	226408154.0	142	ENSG00000143799
PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	13	-1.0	24420931.0	24512778.0	143	ENSG00000102699
PARP1P1	ADPRTP1|PPOLP1	13	1.0	110936759.0	110939784.0	144	ENSG00000227105
PARP1P2	ADPRTP2|PPOLP2	14	1.0	61600000.0	64300000.0	145	
ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	20	-1.0	4220630.0	4249287.0	146	ENSG00000171873
ADRA1B	ADRA1|ALPHA1BAR	5	1.0	159865080.0	159973012.0	147	ENSG00000170214
ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	8	-1.0	26748150.0	26867278.0	148	ENSG00000120907
ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	10	1.0	111077029.0	111080907.0	150	ENSG00000150594
ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	2	-1.0	96112876.0	96116571.0	151	ENSG00000274286
ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	4	1.0	3766348.0	3768526.0	152	ENSG00000184160
ADRB1	ADRB1R|B1AR|BETA1AR|FNSS2|RHR	10	1.0	114043866.0	114046904.0	153	ENSG00000043591
ADRB2	ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR	5	1.0	148826611.0	148828623.0	154	ENSG00000169252
ADRB3	BETA3AR	8	-1.0	37962990.0	37966599.0	155	ENSG00000188778
GRK2	ADRBK1|BARK1|BETA-ARK1	11	1.0	67266473.0	67286556.0	156	ENSG00000173020
GRK3	ADRBK2|BARK2	22	1.0	25564675.0	25729294.0	157	ENSG00000100077
ADSL	AMPS|ASASE|ASL	22	1.0	40346461.0	40390463.0	158	ENSG00000239900
ADSS2	ADEH|ADSS|ADSS 2	1	-1.0	244408494.0	244451909.0	159	ENSG00000035687
AP2A1	ADTAA|AP2-ALPHA|CLAPA1	19	1.0	49767001.0	49807114.0	160	ENSG00000196961
AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	11	1.0	924881.0	1012245.0	161	ENSG00000183020
AP1B1	ADTB1|AP105A|BAM22|CLAPB2|KIDAR	22	-1.0	29327680.0	29388583.0	162	ENSG00000100280
AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	17	1.0	35578046.0	35726413.0	163	ENSG00000006125
AP1G1	ADTG|CLAPG1|USRISD	16	-1.0	71729000.0	71809201.0	164	ENSG00000166747
AEBP1	ACLP	7	1.0	44104345.0	44114562.0	165	ENSG00000106624
TLE5	AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5	19	-1.0	3052910.0	3063107.0	166	ENSG00000104964
CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	6	-1.0	49834257.0	49877096.0	167	ENSG00000124812
AFD1	AFDN	9	1.0	112100000.0	114900000.0	171	
AFG3L1P	AFG3|AFG3L1	16	1.0	89972581.0	90002161.0	172	ENSG00000223959
AFM	ALB2|ALBA|ALF	4	1.0	73481745.0	73504001.0	173	ENSG00000079557
AFP	AFPD|FETA|HPAFP	4	1.0	73431138.0	73456174.0	174	ENSG00000081051
AGA	AGU|ASRG|GA	4	-1.0	177430774.0	177442437.0	175	ENSG00000038002
ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	15	1.0	88803436.0	88875353.0	176	ENSG00000157766
AGER	RAGE|SCARJ1|sRAGE	6	-1.0	32180968.0	32184322.0	177	ENSG00000204305
AGL	GDE	1	1.0	99850361.0	99924023.0	178	ENSG00000162688
AGRP	AGRT|ART|ASIP2	16	-1.0	67482571.0	67483547.0	181	ENSG00000159723
JAG1	AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1	20	-1.0	10637684.0	10673999.0	182	ENSG00000101384
AGT	ANHU|SERPINA8|hFLT1	1	-1.0	230690776.0	230745576.0	183	ENSG00000135744
AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R	3	1.0	148697784.0	148743008.0	185	ENSG00000144891
AGTR2	AT2|ATGR2|MRX88	X	1.0	116170744.0	116174974.0	186	ENSG00000180772
APLNR	AGTRL1|APJ|APJR|HG11	11	-1.0	57233577.0	57237250.0	187	ENSG00000134817
AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6	2	1.0	240868824.0	240880502.0	189	ENSG00000172482
NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	X	-1.0	30304206.0	30309390.0	190	ENSG00000169297
AHCY	SAHH|adoHcyase	20	-1.0	34280268.0	34311802.0	191	ENSG00000101444
AHR	RP85|bHLHe76	7	1.0	16916359.0	17346152.0	196	ENSG00000106546
AHSG	A2HS|AHS|APMR1|FETUA|HSGA	3	1.0	186613060.0	186621318.0	197	ENSG00000145192
AIF1	AIF-1|IBA1|IRT-1|IRT1	6	1.0	31615217.0	31617021.0	199	ENSG00000204472
CRYBG1	AIM1|ST4	6	1.0	106360717.0	106572017.0	202	ENSG00000112297
AK1	HTL-S-58j	9	-1.0	127866486.0	127877675.0	203	ENSG00000106992
AK2	ADK2	1	-1.0	33007986.0	33080996.0	204	ENSG00000004455
AK4	AK 4|AK3|AK3L1|AK3L2	1	1.0	65147549.0	65232145.0	205	ENSG00000162433
AK4P1	AK3P1	17	1.0	27400000.0	33500000.0	206	
AKT1	AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14	-1.0	104769349.0	104795751.0	207	ENSG00000142208
AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	19	-1.0	40230317.0	40285536.0	208	ENSG00000105221
ALAD	ALADH|PBGS	9	-1.0	113386312.0	113401290.0	210	ENSG00000148218
ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	3	1.0	52198086.0	52214327.0	211	ENSG00000023330
ALAS2	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	X	-1.0	55009055.0	55030977.0	212	ENSG00000158578
ALB	FDAHT|HSA|PRO0883|PRO0903|PRO1341	4	1.0	73397114.0	73421482.0	213	ENSG00000163631
ALCAM	CD166|MEMD	3	1.0	105366909.0	105576900.0	214	ENSG00000170017
ABCD1	ABC42|ALD|ALDP|AMN	X	1.0	153724856.0	153744755.0	215	ENSG00000101986
ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9	-1.0	72900671.0	73080442.0	216	ENSG00000165092
ALDH2	ALDH-E2|ALDHI|ALDM	12	1.0	111766887.0	111817532.0	217	ENSG00000111275
ALDH3A1	ALDH3|ALDHIII	17	-1.0	19737984.0	19748943.0	218	ENSG00000108602
ALDH1B1	ALDH5|ALDHX	9	1.0	38392702.0	38398661.0	219	ENSG00000137124
ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	15	1.0	100877714.0	100916626.0	220	ENSG00000184254
ALDH3B1	ALDH4|ALDH7	11	1.0	68008578.0	68029282.0	221	ENSG00000006534
ALDH3B2	ALDH8	11	-1.0	67662155.0	67681224.0	222	ENSG00000132746
ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH	1	-1.0	165662216.0	165698562.0	223	ENSG00000143149
ALDH3A2	ALDH10|FALDH|SLS	17	1.0	19648136.0	19685760.0	224	ENSG00000072210
ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	12	-1.0	39550033.0	39619803.0	225	ENSG00000173208
ALDOA	ALDA|GSD12|HEL-S-87p	16	1.0	30064164.0	30070457.0	226	ENSG00000149925
ALDOAP2	-	10	1.0	121400000.0	125700000.0	228	
ALDOB	ALDB|ALDO2	9	-1.0	101420560.0	101449664.0	229	ENSG00000136872
ALDOC	ALDC	17	-1.0	28573115.0	28576948.0	230	ENSG00000109107
AKR1B1	ADR|ALDR1|ALR2|AR	7	-1.0	134442356.0	134459284.0	231	ENSG00000085662
AKR1B1P2	ALDRP	3	1.0	74100000.0	79800000.0	236	
ALK	ALK1|CD246|NBLST3	2	-1.0	29192774.0	29921586.0	238	ENSG00000171094
ALOX12	12-LOX|12S-LOX|LOG12	17	1.0	6996049.0	7010754.0	239	ENSG00000108839
ALOX5	5-LO|5-LOX|5LPG|LOG5	10	1.0	45374176.0	45446119.0	240	ENSG00000012779
ALOX5AP	FLAP	13	1.0	30713478.0	30764426.0	241	ENSG00000132965
ALOX12B	12R-LOX|ARCI2	17	-1.0	8072636.0	8087716.0	242	ENSG00000179477
ALOX12P1	ALOX12P	17	1.0	27400000.0	33500000.0	243	
ALOX12P2	ALOX12E	17	1.0	6853861.0	6954107.0	245	ENSG00000291084
ALOX15	12-LOX|15-LOX|15-LOX-1|LOG15	17	-1.0	4630919.0	4642294.0	246	ENSG00000161905
ALOX15B	15-LOX-2	17	1.0	8039034.0	8049134.0	247	ENSG00000179593
ALPI	IAP	2	1.0	232456125.0	232460753.0	248	ENSG00000163295
ALPL	AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP	1	1.0	21509397.0	21578410.0	249	ENSG00000162551
ALPP	ALP|ALPI|IAP|PALP|PLAP|PLAP-1	2	1.0	232378724.0	232382889.0	250	ENSG00000163283
ALPG	ALPPL|ALPPL2|GCAP	2	1.0	232406844.0	232410714.0	251	ENSG00000163286
ALX3	FND|FND1	1	-1.0	110059870.0	110070672.0	257	ENSG00000156150
AMBN	AI1F	4	1.0	70592256.0	70607288.0	258	ENSG00000178522
AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	9	-1.0	114060127.0	114078328.0	259	ENSG00000106927
AMD1	ADOMETDC|AMD|SAMDC	6	1.0	110874770.0	110898879.0	262	ENSG00000123505
AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	X	1.0	11293413.0	11300761.0	265	ENSG00000125363
AMELY	AMGL|AMGY	Y	-1.0	6865918.0	6911752.0	266	ENSG00000099721
AMFR	GP78|RNF45|SPG89	16	-1.0	56361452.0	56425545.0	267	ENSG00000159461
AMH	MIF|MIS	19	1.0	2249309.0	2252073.0	268	ENSG00000104899
AMHR2	AMHR|MISR2|MISRII|MRII	12	1.0	53423855.0	53431672.0	269	ENSG00000135409
AMPD1	MAD|MADA|MMDD	1	-1.0	114673090.0	114695618.0	270	ENSG00000116748
AMPD2	PCH9|SPG63	1	1.0	109616104.0	109632051.0	271	ENSG00000116337
AMPD3	-	11	1.0	10308313.0	10507579.0	272	ENSG00000133805
AMPH	AMPH1	7	-1.0	38383704.0	38631420.0	273	ENSG00000078053
BIN1	AMPH2|AMPHL|CNM2|SH3P9	2	-1.0	127048027.0	127107288.0	274	ENSG00000136717
AMT	GCE|GCE2|GCST|GCVT|NKH	3	-1.0	49416778.0	49422685.0	275	ENSG00000145020
AMY1A	AMY1	1	1.0	103655760.0	103664554.0	276	ENSG00000237763
AMY1B	AMY1	1	-1.0	103687415.0	103696454.0	277	ENSG00000174876
AMY1C	AMY1	1	1.0	103745323.0	103758726.0	278	ENSG00000187733
AMY2A	AMY2|PA	1	1.0	103617427.0	103625780.0	279	ENSG00000243480
AMY2B	AMY2|AMY3|HXA	1	1.0	103553815.0	103579534.0	280	ENSG00000240038
AMYP1	AMY2P	1	1.0	103713723.0	103719871.0	281	ENSG00000227408
ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	14	1.0	20684177.0	20698971.0	283	ENSG00000214274
ANGPT1	AGP1|AGPT|AGPT-1|ANG1|HAE5	8	-1.0	107249482.0	107498055.0	284	ENSG00000154188
ANGPT2	AGPT2|ANG2|LMPHM10	8	-1.0	6499632.0	6563409.0	285	ENSG00000091879
ANK1	ANK|SPH1|SPH2|ankyrin-1	8	-1.0	41653220.0	41896741.0	286	ENSG00000029534
ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	4	1.0	112818032.0	113384221.0	287	ENSG00000145362
ANK3	ANKYRIN-G|MRT37	10	-1.0	60026298.0	60733490.0	288	ENSG00000151150
ANPEP	AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN	15	-1.0	89784895.0	89815401.0	290	ENSG00000166825
SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	4	1.0	185143266.0	185150382.0	291	ENSG00000151729
SLC25A5	2F1|AAC2|ANT2|T2|T3	X	1.0	119468422.0	119471396.0	292	ENSG00000005022
SLC25A6	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	X|Y	-1.0	1386152.0	1392113.0	293	ENSG00000169100
ANXA1	ANX1|LPC1	9	1.0	73151865.0	73170393.0	301	ENSG00000135046
ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	15	-1.0	60347134.0	60402883.0	302	ENSG00000182718
ANXA2P1	ANX2L1|ANX2P1|LPC2A	4	1.0	150200000.0	154600000.0	303	
ANXA2P2	ANX2L2|ANX2P2|LPC2B	9	1.0	33200000.0	36300000.0	304	
ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	10	1.0	62800000.0	68800000.0	305	
ANXA3	ANX3	4	1.0	78551747.0	78610451.0	306	ENSG00000138772
ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	2	1.0	69644425.0	69827112.0	307	ENSG00000196975
ANXA5	ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph	4	-1.0	121667946.0	121696995.0	308	ENSG00000164111
ANXA6	ANX6|CBP68|CPB-II|p68|p70	5	-1.0	151100706.0	151157815.0	309	ENSG00000197043
ANXA7	ANX7|SNX|SYNEXIN	10	-1.0	73375101.0	73414076.0	310	ENSG00000138279
ANXA11	ALS23|ANX11|CAP-50|CAP50|IBMWMA	10	-1.0	80150889.0	80205572.0	311	ENSG00000122359
ANXA13	ANX13|ISA	8	-1.0	123680794.0	123737402.0	312	ENSG00000104537
AOAH	-	7	-1.0	36512941.0	36724549.0	313	ENSG00000136250
AOC2	DAO2|RAO|SSAO	17	1.0	42844580.0	42850707.0	314	ENSG00000131480
AOX1	AO|AOH1	2	1.0	200586014.0	200677064.0	316	ENSG00000138356
APAF1	APAF-1|CED4	12	1.0	98645290.0	98735433.0	317	ENSG00000120868
NUDT2	APAH1|IDDPN	9	1.0	34329506.0	34343711.0	318	ENSG00000164978
APOF	Apo-F|LTIP	12	-1.0	56360568.0	56362857.0	319	ENSG00000175336
APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	9	-1.0	69427532.0	69672371.0	320	ENSG00000107282
APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	15	1.0	28884483.0	29118315.0	321	ENSG00000034053
APBB1	FE65|MGC:9072|RIR	11	-1.0	6395125.0	6419414.0	322	ENSG00000166313
APBB2	FE65L|FE65L1	4	-1.0	40810027.0	41216714.0	323	ENSG00000163697
APC	BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46	5	1.0	112707518.0	112846239.0	324	ENSG00000134982
APCS	HEL-S-92n|PTX2|SAP	1	1.0	159587826.0	159588865.0	325	ENSG00000132703
AIRE	AIRE1|APECED|APS1|APSI|PGA1	21	1.0	44285838.0	44298648.0	326	ENSG00000160224
APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	3	1.0	49674014.0	49683971.0	327	ENSG00000164062
