Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS	NM_015423	60496	60496	NM_015423
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	NM_005763	10157	10157	NM_005763
AATBC	apoptosis associated transcript in bladder cancer			NR_026961	284837	284837	NR_026961
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2	NM_012138	26574	26574	NM_001411094
AATK	apoptosis associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	NM_004920	9625	9625	NM_001080395
AAVS1	adeno-associated virus integration site 1		AAV		17	17	
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS	NR_131907	103021294	103021294	NR_131907
ABAT	4-aminobutyrate aminotransferase		GABAT, GABA-T	NM_020686	18	18	NM_000663
ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)						
ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)						
ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)						
ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)						
ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)						
ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD	NM_005502	19	19	NM_005502
ABCA2	ATP binding cassette subfamily A member 2	ABC2		NM_001606	20	20	NM_001411042
ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180	NM_001089	21	21	NM_001089
ABCA3P1	ABCA3 pseudogene 1			NG_022511	342293	342293	NG_022511
ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	NM_000350	24	24	NM_000350
ABCA5	ATP binding cassette subfamily A member 5		EST90625	NM_018672	23461	23461	NM_018672
ABCA6	ATP binding cassette subfamily A member 6		EST155051	NM_080284	23460	23460	NM_080284
ABCA7	ATP binding cassette subfamily A member 7		ABCX	NM_019112	10347	10347	NM_019112
ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	NM_007168	10351	10351	NM_001288985
ABCA9	ATP binding cassette subfamily A member 9		EST640918	NM_172386	10350	10350	NM_080283
ABCA9-AS1	ABCA9 antisense RNA 1					104355297	NR_126414
ABCA10	ATP binding cassette subfamily A member 10		EST698739	NM_080282	10349	10349	NM_001377321
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297	NR_002451.2	79963	79963	NR_002451
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2	NM_173076	26154	26154	NM_015657
ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951	NM_152701	154664	154664	NM_152701
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NCRNA00169, CRYM-AS1	FLJ41766	NR_026675	400508	400508	NR_026675
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene			NR_003574	650655	650655	NR_003574
ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	NM_000927	5243	5243	NM_000927
ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)						
ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)						
ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	NM_000443	5244	5244	NM_000443
ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha	NM_178559	340273	340273	NM_001163941
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597, umat, MTABC3	NM_005689	10058	10058	NM_001349828
ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT	NM_004299	22	22	NM_001271696
ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1, MITOSUR	NM_007188	11194	11194	NM_001282291
ABCB9	ATP binding cassette subfamily B member 9		EST122234	NM_019624	23457	23457	NM_001243013
ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2	NM_012089	23456	23456	NM_012089
ABCB10P1	ABCB10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	NG_005041	56476	56476	NG_005041
ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)						
ABCB10P3	ABCB10 pseudogene 3			NG_022122	728248	728248	NG_022122
ABCB10P4	ABCB10 pseudogene 4			NG_022102	100132289	100132289	NG_022102
ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	NM_003742	8647	8647	NM_003742
ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	GS-X	NM_004996	4363	4363	NM_004996
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP	NM_000392	1244	1244	NM_000392
ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	NM_020038	8714	8714	NM_001144070
ABCC4	ATP binding cassette subfamily C member 4		MRP4, EST170205, MOAT-B, MOATB	NM_005845	10257	10257	NM_001105515
ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C	NM_005688	10057	10057	NM_001023587
ABCC5-AS1	ABCC5 antisense RNA 1					100873982	NR_046570
ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7		368	368	NM_001079528
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			NR_003569	653190	653190	NR_003569
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			NR_023387	730013	730013	NR_023387
ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)						
ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	NM_000352	6833	6833	NM_000352
ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	NM_005691	10060	10060	NM_001377273
ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	NM_033450	89845	89845	NM_001198934
ABCC11	ATP binding cassette subfamily C member 11		MRP8	NM_032583	85320	85320	NM_001370496
ABCC12	ATP binding cassette subfamily C member 12		MRP9	NM_033226	94160	94160	NM_001392028
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P		150000	150000	NR_003087
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	NM_000033	215	215	NM_000033
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1				23785	23785	NG_001246
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6		26983	26983	NG_001270
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3				26982	26982	NG_001269
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4				26957	26957	NG_001265
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5				642762	642762	NG_006974
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	NM_005164	225	225	NM_001412788
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	NM_002858	5825	5825	NM_001122674
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	NM_005050	5826	5826	NM_001353591
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	NM_002940	6059	6059	NM_001040876
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147		23	23	NM_001025091
ABCF1-DT	ABCF1 divergent transcript				107986587	107986587	XR_001756540
ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	NM_005692	10061	10061	NM_007189
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BE1			114483834	114483834	NM_005692
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1				344653	344653	NG_022253
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2				100422059	100422059	NG_026596
ABCF3	ATP binding cassette subfamily F member 3		EST201864	NM_018358	55324	55324	NM_001351298
ABCG1	ATP binding cassette subfamily G member 1		ABC8	NM_207174	9619	9619	NM_004915
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	NM_004827	9429	9429	NM_001257386
ABCG4	ATP binding cassette subfamily G member 4		WHITE2	NM_022169	64137	64137	NM_001142505
ABCG5	ATP binding cassette subfamily G member 5		STSL	NM_022436	64240	64240	NM_022436
ABCG8	ATP binding cassette subfamily G member 8		GBD4	NM_022437	64241	64241	NM_001357321
ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)						
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	NM_032604	84696	84696	NM_032604
ABHD2	abhydrolase domain containing 2, acylglycerol lipase		LABH2		11057	11057	NM_001416412
ABHD3	abhydrolase domain containing 3, phospholipase		LABH3		171586	171586	NM_001308256
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		FLJ12816		63874	63874	NM_001392009
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase		CGI-58, NCIE2	NM_016006	51099	51099	NM_001355186
ABHD6	abhydrolase domain containing 6, acylglycerol lipase			NM_020676	57406	57406	NM_001320126
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	NM_024527	79575	79575	NM_024527
ABHD10	abhydrolase domain containing 10, depalmitoylase		FLJ11342	NM_018394	55347	55347	NM_001272069
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226		83451	83451	NM_001145364
ABHD11-AS2	ABHD11 antisense RNA 2						
ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	NM_015600	26090	26090	NM_001042472
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3		145447	145447	NM_001206673
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	NM_032859	84945	84945	NM_032859
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	NM_015407	25864	25864	NM_015407
ABHD14A-ACY1	ABHD14A-ACY1 readthrough				100526760	100526760	NM_001316331
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	NM_032750	84836	84836	NM_001146314
ABHD15	abhydrolase domain containing 15			NM_198147	116236	116236	NM_198147
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13			104355133	
ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	NG26, D6S82E		7920	7920	NM_001177515
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1		140701	140701	NM_080622
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27, FAM108A1	MGC5244	NM_031213	81926	81926	NM_001130111
ABHD17AP1	ABHD17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	NG_011738	728917	728917	NG_011738
ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	FAM108A3, FAM108A11P, FAM108A3P					
ABHD17AP3	ABHD17A pseudogene 3	FAM108A4, FAM108A4P		XR_041784	648359	648359	NG_030366
ABHD17AP4	ABHD17A pseudogene 4	FAM108A5, FAM108A5P			729495	729495	NG_023156
ABHD17AP5	ABHD17A pseudogene 5	FAM108A6, FAM108A6P			91219	91219	NG_000002
ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P			644988	644988	NG_022988
ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P			100133212	100133212	NG_022980
ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P			647144	647144	NG_023021
ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P			100132251	100132251	NG_028293
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77, FAM108B1	CGI-67	NM_016014	51104	51104	NM_001025780
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1		NM_021214	58489	58489	NM_021214
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	NM_001039717	80167	80167	NM_001039717
ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	NM_005470	10006	10006	NM_001012750
ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P		NG_002531	326268	326268	NG_002531
ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	NM_005759	10152	10152	NM_001282925
ABI3	ABI family member 3		NESH, SSH3BP3	NM_016428	51225	51225	NM_001135186
ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH		25890	25890	NM_001349329
ABITRAM	actin binding transcription modulator	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	NM_017832	54942	54942	NM_001410990
ABITRAMP1	ABITRAM pseudogene 1	FAM206BP		NG_011392	390403	390403	NG_011392
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	NM_007313	25	25	NM_005157
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	NM_005158	27	27	NM_001136000
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin		3983	3983	NM_001003407
ABLIM2	actin binding LIM protein family member 2		KIAA1808	NM_001130083	84448	84448	NM_001130083
ABLIM3	actin binding LIM protein family member 3		KIAA0843	NM_014945	22885	22885	NM_001301015
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	NM_020469	28	28	NM_020469
ABR	ABR activator of RhoGEF and GTPase		MDB		29	29	NM_001092
ABR-AS1	ABR antisense RNA 1				105371479	105371479	XR_934138
ABRA	actin binding Rho activating protein		STARS	NM_139166	137735	137735	NM_139166
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	NM_021243	58527	58527	NM_021243
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	NM_139076	84142	84142	NM_001345962
ABRAXAS1P1	ABRAXAS1 pseudogene 1			NG_025605	100421580	100421580	NG_025605
ABRAXAS1P2	ABRAXAS1 pseudogene 2			NG_022380	100133073	100133073	NG_022380
ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	NM_032182	23172	23172	NM_032182
ABT1	activator of basal transcription 1		Esf2		29777	29777	NM_013375
ABT1P1	activator of basal transcription 1 pseudogene 1			NG_025142	100420695	100420695	NG_025142
ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2	NM_172027	80325	80325	NM_032548
ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	NM_145804	25841	25841	NM_145804
ABTB3	ankyrin repeat and BTB domain containing 3	BTBD11	FLJ33957, ABTB2B	NM_152322	121551	121551	NM_001017523
ACAA1	acetyl-CoA acyltransferase 1		Lnc-Myd88	NM_001607	30	30	NM_001130410
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	NM_006111	10449	10449	NM_006111
ACAA2P1	ACAA2 pseudogene 1				100420869	100420869	NG_026698
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	NM_198836	31	31	NM_198834
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	NM_001093	32	32	NM_001093
ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)						
ACAD8	acyl-CoA dehydrogenase family member 8			NM_014384	27034	27034	NM_014384
ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	NM_014049	28976	28976	NM_001410805
ACAD9-DT	ACAD9 divergent transcript				123706524	123706524	XR_007096078
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	NM_025247	80724	80724	NM_001136538
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	NM_032169	84129	84129	NM_032169
ACADL	acyl-CoA dehydrogenase long chain		LCAD, ACAD4	NM_001608	33	33	NM_001608
ACADM	acyl-CoA dehydrogenase medium chain		MCAD, MCADH, ACAD1		34	34	NM_000016
ACADS	acyl-CoA dehydrogenase short chain		SCAD, ACAD3	NM_000017	35	35	NM_000017
ACADSB	acyl-CoA dehydrogenase short/branched chain		SBCAD, ACAD7	NM_001609	36	36	NM_001330174
ACADVL	acyl-CoA dehydrogenase very long chain		VLCAD, LCACD, ACAD6	NM_000018	37	37	NM_000018
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	NM_001135	176	176	NM_001135
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	NM_014716	9744	9744	NM_014716
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	NM_012287	23527	23527	NM_012287
ACAP2-IT1	ACAP2 intronic transcript 1					100874306	
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	NM_030649	116983	116983	NM_030649
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	NM_000019	38	38	NM_000019
ACAT2	acetyl-CoA acetyltransferase 2			NM_005891	39	39	NM_001303253
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	NM_022735	64746	64746	NM_022735
ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4	NR_146443	107985353	107985353	NR_146443
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	NM_024722	79777	79777	NM_001135705
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	NM_145698	91452	91452	NM_001042473
ACBD6	acyl-CoA binding domain containing 6		MGC2404	NM_032360	84320	84320	NM_032360
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2		414149	414149	NM_001039844
ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)						
ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)						
ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)						
ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)						
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	NM_032592	84680	84680	NM_001127219
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			NM_001031854	390110	390110	NM_001031854
ACD	ACD shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	NM_022914	65057	65057	NM_001082486
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	NM_000789	1636	1636	NM_000789
ACE2	angiotensin converting enzyme 2		ACEH		59272	59272	NM_001371415
ACE2-DT	ACE2 divergent transcript		GS1-594A7.3	NR_126564	104798195	104798195	NR_126564
ACE3P	angiotensin I converting enzyme 3, pseudogene				100129123	100129123	NG_016186
ACER1	alkaline ceramidase 1	ASAH3		NM_133492	125981	125981	NM_133492
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	NM_001010887	340485	340485	NM_001010887
ACER2P1	ACER2 pseudogene 1			NG_030142	645978	645978	NG_030142
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	NM_018367	55331	55331	NM_001300953
ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)						
ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)						
ACHE	acetylcholinesterase (Cartwright blood group)	YT		NM_015831	43	43	NM_000665
ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	RMCH					
ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)						
ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)						
ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)						
ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)						
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	NM_014977	22985	22985	NM_001164814
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	NM_002036	2532	2532	NM_001122951
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	NM_001296	1238	1238	NM_001296
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	NM_020311	57007	57007	NM_020311
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	NM_016557	51554	51554	NM_016557
ACKR4P1	ACKR4 pseudogene 1	CCRL1P, CCRL1P1	dJ509I19.4	XM_208346	285737	285737	NG_005663
ACLS	acrocallosal syndrome						
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	NM_001096	47	47	NM_001096
ACMG	acromegaly						
ACMSD	aminocarboxymuconate semialdehyde decarboxylase				130013	130013	NM_001307983
ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	BAATP1			347275	347275	NG_023464
ACO1	aconitase 1	IREB1	IRP1, IREBP	NM_002197	48	48	NM_001278352
ACO2	aconitase 2		ACONM	NM_001098	50	50	NM_001098
ACOD1	aconitate decarboxylase 1	IRG1	CAD	NM_001258406	730249	730249	NM_001258406
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	NM_001037161	641371	641371	NM_001037161
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	NM_006821	10965	10965	NM_001364177
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	NM_152331	122970	122970	NM_152331
ACOT6	acyl-CoA thioesterase 6	C14orf42		NM_001037162	641372	641372	NM_001037162
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	NM_007274	11332	11332	NM_007274
